Player,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
0,40.0,LAL,NBA,C,80.0,80.0,28.9,6.0,11.3,0.532,0.0,0.0,0.0,6.0,11.3,0.532,0.532,2.6,3.4,0.762,1.5,4.5,6.0,1.7,0.6,1.2,2.0,2.7,14.6,2000000.0
1,25.0,BOS,NBA,C,79.0,5.0,14.6,1.4,2.6,0.532,0.0,0.0,0.0,1.4,2.6,0.532,0.532,0.9,1.4,0.64,1.3,2.1,3.4,0.5,0.4,0.3,0.7,2.5,3.6,75000.0
2,33.0,PHO,NBA,C,82.0,25.0,20.1,3.1,6.2,0.496,0.0,0.0,0.5,3.0,6.1,0.496,0.497,1.3,1.6,0.844,1.4,3.0,4.5,2.2,1.0,0.5,1.7,3.0,7.5,675000.0
3,25.0,DEN,NBA,PG,82.0,75.0,33.9,5.1,11.3,0.449,1.7,4.6,0.367,3.4,6.7,0.505,0.524,2.0,2.4,0.834,0.5,2.2,2.7,6.1,2.0,0.2,1.8,1.7,13.9,160000.0
4,28.0,DAL,NBA,SF,77.0,77.0,33.9,9.7,20.4,0.475,0.7,2.2,0.302,9.0,18.2,0.496,0.491,5.0,6.5,0.77,2.4,3.3,5.6,3.6,0.9,0.7,2.6,2.9,25.1,715700.0
5,28.0,BOS,NBA,SG,81.0,81.0,37.3,6.0,12.1,0.491,1.8,4.4,0.415,4.1,7.7,0.534,0.566,2.0,2.2,0.878,0.7,2.3,3.1,6.2,1.4,0.2,1.9,2.5,15.7,625000.0
6,24.0,WSB,NBA,PF,63,0,12.2,2.3,4.8,.480,0.1,0.3,.222,2.2,4.5,.496,.487,0.6,0.8,.714,1.1,1.4,2.5,0.6,0.2,0.2,0.8,1.7,5.2,232500.0
7,23.0,DAL,NBA,PG,28.0,0.0,7.0,0.8,2.0,0.382,0.0,0.3,0.125,0.7,1.7,0.426,0.391,0.6,0.6,0.941,0.1,0.7,0.8,0.8,0.6,0.1,0.4,0.8,2.1,100000.0
8,23.0,SAS,NBA,PF,82,45,24.2,4.6,9.2,.501,0.0,0.1,.200,4.6,9.2,.503,.502,2.4,4.0,.604,2.0,4.3,6.3,1.0,0.7,1.5,1.7,2.8,11.7,185000.0
9,27.0,TOT,NBA,PF,74,3,18.2,2.3,5.9,.390,0.6,2.0,.320,1.7,3.9,.426,.444,0.8,1.0,.753,1.2,2.9,4.1,1.5,0.7,0.2,0.8,1.9,6.1,150000.0
10,29.0,IND,NBA,SF,74,1,14.8,2.9,5.9,.498,0.0,0.0,.000,2.9,5.9,.500,.498,1.5,1.9,.766,1.2,1.7,2.9,1.1,0.6,0.1,1.0,1.3,7.3,200000.0
11,27.0,NJN,NBA,PG,82,74,33.8,4.8,10.9,.439,0.6,2.0,.292,4.2,9.0,.471,.465,1.8,2.2,.822,0.7,2.4,3.1,5.8,1.3,0.1,2.5,2.0,12.0,475000.0
12,30.0,PHO,NBA,PF,65,0,13.4,1.7,3.7,.452,0.0,0.1,.000,1.7,3.6,.460,.452,1.1,1.4,.787,1.1,2.1,3.2,0.6,0.3,0.4,1.1,2.8,4.4,300000.0
13,26.0,UTA,NBA,SF,82,10,34.2,7.7,15.7,.492,0.0,0.0,.333,7.7,15.6,.493,.493,4.1,5.0,.826,1.6,4.8,6.5,1.9,0.6,1.5,2.3,2.3,19.6,549000.0
