Player,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
0,28.0,POR,NBA,PF,54.0,49.0,34.6,6.2,12.4,0.503,0.3,0.7,0.385,6.0,11.7,0.51,0.514,4.1,4.7,0.866,2.3,5.0,7.3,2.1,0.9,0.5,2.2,2.8,16.8,14625000.0
1,26.0,TOT,NBA,PF,36.0,1.0,14.4,2.3,4.9,0.475,0.0,0.0,0.0,2.3,4.9,0.475,0.475,0.7,0.8,0.929,1.1,1.6,2.8,0.5,0.3,0.6,0.5,1.5,5.4,1950625.0
2,29.0,SEA,NBA,SG,78.0,78.0,39.3,8.2,19.2,0.428,2.7,7.1,0.376,5.5,12.0,0.459,0.498,4.8,5.5,0.883,1.0,3.4,4.4,3.7,1.1,0.1,2.2,2.1,23.9,14625000.0
3,23.0,BOS,NBA,SG,77.0,34.0,16.4,2.4,5.0,0.475,0.2,0.4,0.387,2.2,4.6,0.483,0.491,1.5,2.0,0.737,1.1,1.8,2.9,0.8,1.0,0.3,1.0,2.0,6.4,901920.0
4,28.0,TOR,NBA,PG,80,78,34.0,5.0,12.2,.414,1.7,4.9,.357,3.3,7.3,.451,.485,2.4,3.2,.740,0.5,3.0,3.5,6.4,1.5,0.1,2.1,2.7,14.2,3500000.0
5,26.0,NOH,NBA,C,67,2,21.3,2.9,5.3,.534,0.0,0.0,.000,2.9,5.3,.538,.534,2.0,2.8,.689,2.0,4.1,6.1,1.1,0.2,1.5,1.0,2.1,7.7,1600000.0
6,30.0,POR,NBA,SG,47.0,32.0,26.4,3.2,8.3,0.389,1.2,3.2,0.384,2.0,5.1,0.392,0.463,1.5,1.9,0.805,0.5,2.2,2.7,3.0,0.8,0.1,1.5,1.9,9.2,8443500.0
7,34.0,TOT,NBA,PG,43,20,17.3,2.0,4.7,.423,0.1,0.3,.462,1.8,4.4,.420,.438,0.6,0.9,.730,0.6,1.5,2.0,2.4,0.8,0.0,1.1,2.0,4.7,1100000.0
8,31.0,TOT,NBA,"SF,SG",66.0,5.0,17.7,1.5,3.3,0.452,0.1,0.4,0.172,1.4,2.8,0.495,0.463,0.8,1.0,0.818,0.6,2.3,2.9,1.1,0.6,0.2,0.8,2.1,3.9,7300000.0
9,20.0,DEN,NBA,SF,75.0,75.0,34.8,7.1,16.4,0.431,0.6,2.1,0.266,6.5,14.3,0.455,0.448,6.1,7.6,0.796,1.9,3.8,5.7,2.6,0.9,0.4,3.0,3.1,20.8,3471360.0
