Player,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
0,26.0,DEN,NBA,PG,57,53,35.6,7.3,16.8,.434,2.1,5.4,.392,5.1,11.3,.454,.497,2.6,2.8,.930,0.5,2.0,2.4,6.8,1.1,0.1,2.0,2.1,19.2,2600000.0
1,31.0,CHH,NBA,SF,53,0,9.7,1.5,3.1,.467,0.0,0.2,.000,1.5,2.9,.494,.467,0.3,0.4,.773,0.5,1.2,1.7,0.6,0.2,0.2,0.5,1.4,3.2,360000.0
2,22.0,SAS,NBA,PG,60,0,9.3,1.1,2.6,.406,0.4,1.1,.394,0.6,1.5,.416,.490,0.3,0.4,.640,0.2,0.6,0.7,2.0,0.5,0.0,1.1,1.6,2.8,490000.0
3,23.0,MIN,NBA,SG,41.0,0.0,8.8,0.9,2.6,0.343,0.2,0.8,0.303,0.6,1.8,0.361,0.39,0.6,0.9,0.722,0.1,0.5,0.6,1.2,0.5,0.1,0.8,1.0,2.6,200000.0
4,23.0,PHI,NBA,C,73.0,41.0,22.1,2.7,5.3,0.512,0.0,0.0,0.333,2.7,5.3,0.513,0.513,0.8,1.5,0.491,1.7,2.4,4.1,0.8,0.8,0.7,0.8,2.6,6.2,350000.0
5,25.0,CLE,NBA,PF,28,3,12.8,1.0,2.5,.414,0.0,0.0,0.0,1.0,2.5,.414,.414,0.7,1.2,.576,0.5,1.4,1.9,0.3,0.2,0.4,1.2,1.8,2.8,200000.0
6,24.0,VAN,NBA,PF,54.0,34.0,20.4,2.2,4.7,0.48,0.0,0.0,0.0,2.2,4.6,0.482,0.48,1.8,2.8,0.651,2.1,3.5,5.6,0.6,0.4,0.2,1.1,2.8,6.3,225000.0
7,31.0,SAS,NBA,PF,46,7,7.5,0.5,1.0,.511,0.0,0.0,.000,0.5,1.0,.522,.511,0.1,0.5,.240,0.6,1.5,2.2,0.2,0.2,0.5,0.5,1.4,1.2,485000.0
8,25.0,TOT,NBA,PG,69,64,34.0,5.1,12.1,.418,1.3,3.7,.359,3.7,8.4,.445,.474,3.8,4.9,.769,0.9,2.0,2.9,8.3,1.6,0.2,2.1,2.6,15.2,3898000.0
9,28.0,ORL,NBA,SG,77.0,77.0,35.3,5.2,11.7,0.442,2.2,5.6,0.391,3.0,6.2,0.489,0.535,2.2,3.1,0.692,1.2,4.2,5.4,3.6,1.6,0.6,1.8,1.8,14.7,3200000.0
10,29.0,TOT,NBA,SG,76,44,27.1,3.8,8.7,.436,0.4,1.6,.283,3.3,7.1,.470,.462,1.7,2.1,.810,0.6,2.6,3.2,2.6,1.0,0.8,1.9,3.0,9.8,2075000.0
11,28.0,VAN,NBA,PG,69.0,68.0,30.4,4.7,11.3,0.415,1.3,3.9,0.332,3.4,7.4,0.459,0.472,3.3,4.3,0.771,0.4,2.1,2.5,6.9,1.7,0.2,2.3,2.0,14.0,1673000.0
12,28.0,GSW,NBA,PG,82.0,64.0,27.6,4.1,8.9,0.468,1.2,2.5,0.473,3.0,6.3,0.465,0.535,2.9,3.4,0.839,0.3,2.0,2.2,4.9,0.8,0.1,1.6,1.8,12.3,2400000.0
13,27.0,ORL,NBA,PG,13,0,3.2,1.2,2.5,.500,0.5,0.9,.500,0.8,1.5,.500,.594,0.3,0.3,1.000,0.0,0.2,0.2,0.4,0.5,0.0,0.5,0.3,3.2,350000.0
14,29.0,SEA,NBA,SG,69,2,25.0,3.1,6.3,.493,0.4,1.2,.337,2.7,5.1,.531,.526,1.8,2.3,.764,0.9,2.2,3.2,2.4,0.7,0.2,1.4,2.6,8.4,1810000.0
15,28.0,MIA,NBA,SF,75,14,25.3,2.1,5.2,0.402,1.3,3.2,0.418,0.8,2.1,0.377,0.528,0.6,0.8,0.789,1.5,2.8,4.3,1.6,0.6,0.8,1.1,3.6,6.1,550000.0
16,27.0,ATL,NBA,SF,77.0,49.0,29.8,4.7,9.6,0.491,0.0,0.1,0.25,4.7,9.5,0.492,0.491,3.3,4.1,0.792,1.8,2.2,3.9,1.8,1.4,0.4,1.8,2.4,12.7,2160000.0
17,26.0,VAN,NBA,PF,71,32,22.3,2.5,6.6,.384,0.0,0.0,0.0,2.5,6.6,.384,.384,0.8,1.1,.740,1.5,3.5,5.0,1.0,0.4,0.6,1.5,2.8,5.8,950000.0
18,24.0,MIL,NBA,PF,82.0,82.0,40.5,8.5,17.4,0.489,0.1,0.6,0.208,8.4,16.8,0.499,0.493,3.9,5.8,0.67,3.2,6.6,9.9,2.6,0.8,1.1,2.6,3.3,21.1,3765000.0
19,27.0,DET,NBA,SG,9,0,13.7,1.0,2.6,.391,0.0,0.4,.000,1.0,2.1,.474,.391,0.4,0.7,.667,0.2,2.2,2.4,1.7,0.4,0.1,0.6,1.9,2.4,225000.0
20,32.0,PHO,NBA,PF,71.0,71.0,37.1,8.2,16.3,0.5,0.7,2.5,0.28,7.5,13.9,0.539,0.521,6.2,8.0,0.777,3.4,8.1,11.6,3.7,1.6,0.8,3.1,2.9,23.2,4760000.0
