Player,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
0,26.0,TOT,NBA,PF,54.0,0.0,9.4,2.2,4.3,0.511,0.0,0.0,0.0,2.2,4.2,0.515,0.511,0.4,0.6,0.571,0.7,1.4,2.1,0.2,0.3,0.2,0.8,1.9,4.7,650000.0
1,25.0,DEN,NBA,PG,73,43,28.5,6.5,13.8,.470,1.1,2.9,.386,5.3,10.8,.492,.511,1.9,2.1,.885,0.4,1.4,1.9,3.6,1.1,0.1,1.6,1.7,16.0,2200000.0
2,32.0,CHH,NBA,PG,29.0,0.0,15.3,2.3,5.1,0.453,1.0,2.8,0.358,1.3,2.3,0.567,0.551,0.9,1.0,0.833,0.2,0.8,1.0,3.3,0.8,0.0,0.9,1.4,6.5,1240000.0
3,30.0,DET,NBA,SF,79,16,22.5,3.5,7.4,.476,0.3,1.1,.289,3.2,6.4,.507,.497,0.9,1.3,.747,0.8,2.2,3.1,1.4,0.7,0.3,1.0,3.0,8.3,250000.0
4,35.0,PHO,NBA,SG,74.0,1.0,18.6,2.6,5.7,0.46,1.1,2.9,0.364,1.6,2.8,0.558,0.552,1.4,1.8,0.808,0.3,1.1,1.5,2.8,0.6,0.1,1.1,2.1,7.7,2080000.0
5,25.0,GSW,NBA,C,50,29,24.7,4.6,8.9,.515,0.1,0.5,.240,4.5,8.4,.531,.521,0.7,1.2,.600,1.7,4.1,5.8,1.2,0.6,0.6,1.5,2.9,10.0,1377500.0
6,22.0,PHI,NBA,C,64.0,1.0,16.1,1.9,4.0,0.465,0.0,0.1,0.0,1.9,4.0,0.472,0.465,0.9,1.9,0.492,1.5,1.9,3.4,0.5,0.6,0.5,0.8,1.7,4.7,150000.0
7,30.0,ATL,NBA,PF,51,0,12.2,1.1,2.0,.548,0.0,0.0,0.0,1.1,2.0,.548,.548,0.7,1.4,.479,1.2,2.5,3.7,0.3,0.5,0.6,0.6,2.0,2.9,400000.0
8,24.0,NJN,NBA,PG,72,70,37.3,5.7,14.3,.399,1.3,4.1,.330,4.4,10.2,.426,.446,4.8,5.8,.841,1.0,2.5,3.5,9.4,1.4,0.2,3.1,2.6,17.6,3463200.0
9,27.0,ORL,NBA,SG,76.0,76.0,34.1,5.8,12.1,0.476,2.4,5.7,0.415,3.4,6.5,0.528,0.573,1.9,2.7,0.704,1.1,3.3,4.4,4.1,1.6,0.3,1.9,1.6,15.8,3090000.0
10,28.0,SAS,NBA,SG,38,11,14.6,2.0,4.3,.469,0.1,0.5,.158,1.9,3.8,.510,.478,0.8,1.1,.732,0.4,1.1,1.4,1.4,0.7,0.3,1.0,1.9,4.9,2075000.0
11,27.0,NYK,NBA,PG,61.0,2.0,15.5,2.1,4.8,0.437,0.9,2.5,0.361,1.2,2.3,0.522,0.532,1.0,1.2,0.789,0.1,0.9,1.0,2.6,0.8,0.1,0.9,1.6,6.1,1471000.0
12,27.0,CHI,NBA,PG,82.0,82.0,31.4,5.1,10.9,0.468,1.3,3.1,0.427,3.8,7.8,0.484,0.528,2.5,2.8,0.884,0.3,2.0,2.3,3.0,1.0,0.1,1.3,1.9,14.0,2800000.0
13,28.0,SEA,NBA,SG,71,1,24.2,3.5,7.1,.492,0.4,1.3,.330,3.1,5.8,.529,.523,2.5,3.4,.739,0.9,1.6,2.5,2.5,0.7,0.2,1.2,2.7,9.9,1460000.0
14,27.0,MIA,NBA,SF,50,5,17.1,1.6,4.1,0.391,0.4,1.6,0.269,1.2,2.6,0.465,0.442,0.9,1.1,0.807,1.7,2.2,4.0,0.8,0.7,0.3,0.5,2.2,4.6,406000.0
15,26.0,ATL,NBA,SG,76.0,76.0,31.1,5.2,11.5,0.453,0.1,0.3,0.269,5.1,11.2,0.459,0.457,3.3,4.6,0.728,2.1,2.8,4.8,2.6,1.3,0.6,2.0,2.1,13.9,1662500.0
16,25.0,ORL,NBA,PF,71,3,15.0,1.5,3.4,.430,0.0,0.0,0.0,1.5,3.4,.430,.430,0.7,1.1,.640,1.4,2.8,4.1,0.6,0.4,0.7,0.7,2.4,3.6,800000.0
17,23.0,MIL,NBA,PF,82.0,82.0,41.0,7.2,15.0,0.483,0.1,0.3,0.292,7.2,14.7,0.487,0.486,3.1,5.3,0.593,3.5,6.8,10.3,3.6,1.0,1.4,2.7,3.4,17.7,1065300.0
18,31.0,PHO,NBA,PF,68.0,66.0,35.0,8.1,16.8,0.486,1.1,3.2,0.338,7.1,13.6,0.521,0.518,5.6,7.5,0.748,3.0,8.1,11.1,4.1,1.6,0.7,2.2,3.0,23.0,4030000.0
19,27.0,PHI,NBA,PG,82,82,40.5,7.0,14.2,.490,2.4,5.2,.464,4.6,9.0,.505,.575,4.2,4.7,.899,0.3,3.0,3.3,7.5,1.8,0.0,3.0,1.9,20.6,937500.0
20,25.0,MIL,NBA,SG,52.0,0.0,11.6,1.1,2.6,0.425,0.3,0.9,0.333,0.8,1.7,0.477,0.485,1.2,1.5,0.763,0.3,0.7,0.9,1.6,0.6,0.1,0.8,1.0,3.7,800000.0
21,32.0,CLE,NBA,SG,28.0,0.0,10.0,1.5,4.1,0.377,0.4,1.1,0.355,1.1,3.0,0.386,0.425,0.7,0.9,0.731,0.1,0.3,0.4,1.3,0.3,0.0,0.6,1.0,4.1,1330000.0
22,29.0,ATL,NBA,PG,10,0,7.4,1.1,2.2,0.5,0.1,0.6,0.167,1.0,1.6,0.625,0.523,0.7,0.9,0.778,0.1,0.6,0.7,1.4,0.1,0.1,0.7,1.0,3.0,168000.0
23,30.0,NJN,NBA,C,61.0,57.0,26.2,4.4,8.7,0.51,0.0,0.0,0.0,4.4,8.7,0.51,0.51,2.2,2.9,0.76,1.5,5.7,7.2,0.6,0.4,1.0,2.0,2.5,11.1,3774600.0
24,25.0,CHH,NBA,PG,3,0,15.3,2.0,4.3,0.462,0.7,3.0,0.222,1.3,1.3,1.0,0.538,0.0,0.0,0.0,0.0,0.7,0.7,1.3,0.0,0.0,1.0,2.0,4.7,224000.0
25,26.0,UTA,NBA,SF,71,67,25.9,4.0,8.3,.486,0.5,1.6,.330,3.5,6.6,.523,.518,1.9,2.2,.841,1.4,3.8,5.2,0.8,0.6,0.7,1.1,2.6,10.4,1000000.0
26,27.0,ATL,NBA,PG,80.0,80.0,38.4,6.4,15.0,0.425,2.5,6.9,0.359,3.9,8.0,0.482,0.508,2.0,2.7,0.729,1.5,3.5,4.9,7.7,2.5,0.3,3.0,2.1,17.2,2100000.0
27,26.0,CHI,NBA,PF,68.0,9.0,13.1,1.5,3.1,0.476,0.0,0.0,0.0,1.5,3.1,0.481,0.476,0.6,1.0,0.567,1.6,2.0,3.5,0.9,0.4,0.5,0.9,2.1,3.5,845000.0
28,30.0,CHH,NBA,PG,78.0,78.0,33.7,4.5,9.4,0.477,0.1,0.4,0.2,4.4,9.0,0.489,0.481,2.1,2.3,0.889,0.7,2.6,3.3,8.7,1.3,0.0,1.7,1.9,11.1,1125000.0
29,32.0,GSW,NBA,C,5,2,16.2,1.2,2.0,.600,0.6,1.0,.600,0.6,1.0,.600,.750,0.0,0.0,0.0,0.2,2.2,2.4,0.0,0.0,1.8,0.2,2.0,3.0,200000.0
30,25.0,TOT,NBA,SG,23.0,0.0,12.6,1.7,3.7,0.464,0.7,1.8,0.366,1.0,1.9,0.558,0.554,0.6,0.9,0.7,0.3,1.0,1.4,1.0,0.3,0.2,0.7,2.0,4.7,117000.0
31,26.0,NYK,NBA,PF,58.0,23.0,19.4,1.5,3.3,0.456,0.0,0.1,0.2,1.5,3.2,0.463,0.459,0.8,1.2,0.657,1.9,2.6,4.5,1.4,0.8,0.4,1.4,2.7,3.8,845000.0
32,31.0,ORL,NBA,SG,77,4,16.4,2.3,4.8,.480,0.2,0.5,.300,2.1,4.3,.502,.496,0.8,0.9,.836,0.7,1.1,1.8,2.1,0.6,0.3,1.1,1.8,5.5,900000.0
33,33.0,LAL,NBA,C,67,10,18.3,1.8,4.0,.442,0.0,0.2,.182,1.7,3.8,.453,.446,1.0,1.3,.764,1.1,3.2,4.3,1.8,0.3,1.2,1.4,2.7,4.6,3200000.0
34,22.0,PHI,NBA,C,82.0,59.0,28.8,3.8,8.5,0.455,0.0,0.0,0.0,3.8,8.4,0.457,0.455,1.8,2.8,0.638,3.0,5.1,8.0,0.6,0.7,3.3,1.7,4.1,9.5,3510000.0
35,24.0,CLE,NBA,PG,67,41,29.3,5.1,11.4,.448,0.7,1.8,.397,4.4,9.6,.457,.479,2.4,2.8,.855,0.5,2.3,2.8,5.4,1.6,0.2,2.1,1.8,13.3,997000.0
36,24.0,HOU,NBA,SF,42,2,8.1,1.1,2.9,.372,0.1,0.6,.240,0.9,2.3,.406,.397,0.8,1.2,.653,0.4,0.4,0.8,0.4,0.3,0.1,0.4,0.6,3.0,150000.0
37,29.0,TOT,NBA,PG,59.0,0.0,13.7,2.1,4.7,0.458,0.4,1.2,0.362,1.7,3.5,0.49,0.504,1.1,1.3,0.81,0.2,0.9,1.1,2.0,0.6,0.1,0.8,0.9,5.8,550000.0
38,26.0,BOS,NBA,SG,79.0,69.0,35.3,5.5,12.4,0.447,1.6,4.1,0.385,3.9,8.2,0.478,0.512,3.0,3.5,0.852,0.8,2.4,3.2,3.8,1.4,0.6,1.8,2.3,15.6,2500000.0
39,31.0,MIN,NBA,C,27,0,7.9,0.4,1.5,.250,0.0,0.0,.000,0.4,1.4,.256,.250,0.6,1.0,.556,0.3,1.3,1.7,0.4,0.3,0.0,0.6,1.3,1.3,1475000.0
40,25.0,NJN,NBA,C,80,63,30.8,3.2,7.1,.446,0.1,0.3,.167,3.1,6.8,.458,.449,1.7,2.6,.671,2.2,3.9,6.1,1.7,0.9,1.7,1.0,3.3,8.1,780000.0
41,26.0,SAC,NBA,PG,67.0,2.0,16.2,1.9,4.3,0.432,0.2,0.7,0.298,1.6,3.6,0.458,0.456,0.8,1.2,0.671,0.4,1.3,1.6,2.0,1.5,0.3,1.2,2.3,4.7,700000.0
42,29.0,POR,NBA,PF,49.0,0.0,13.4,2.1,3.9,0.526,0.0,0.0,0.5,2.0,3.9,0.526,0.529,0.8,1.3,0.651,1.1,2.2,3.3,0.6,0.4,0.3,0.8,2.2,5.0,1400000.0
43,26.0,CHI,NBA,SF,57.0,0.0,10.6,1.6,3.2,0.492,0.3,0.8,0.313,1.3,2.4,0.556,0.533,0.4,0.7,0.564,0.6,1.1,1.7,0.9,0.4,0.2,0.5,1.1,3.8,150000.0
44,24.0,CHH,NBA,SF,65.0,62.0,31.0,4.3,9.1,0.467,1.5,3.6,0.409,2.8,5.5,0.506,0.548,1.5,2.2,0.694,1.5,4.2,5.7,2.5,1.2,0.6,1.3,2.9,11.5,845000.0
45,26.0,PHI,NBA,SF,53,31,29.5,4.6,11.4,.401,2.0,5.2,.385,2.6,6.2,.414,.488,4.2,5.0,.824,0.9,2.2,3.1,1.8,0.6,0.4,2.3,3.2,15.3,1052000.0
46,24.0,WSB,NBA,SG,76,5,20.4,2.8,6.7,.421,0.6,1.9,.326,2.2,4.8,.458,.467,1.6,2.4,.665,0.6,1.7,2.2,1.2,0.8,0.1,1.4,2.0,7.9,400000.0
47,33.0,CLE,NBA,C,82,21,24.9,2.2,4.1,.521,0.0,0.0,.000,2.2,4.1,.524,.521,0.6,1.1,.602,2.5,4.4,6.9,0.7,0.7,0.8,0.7,1.8,5.0,1635000.0
48,28.0,HOU,NBA,PF,7,0,4.3,0.1,0.6,.250,0.0,0.0,0.0,0.1,0.6,.250,.250,0.4,0.9,.500,0.1,1.3,1.4,0.0,0.1,0.0,0.1,0.9,0.7,150000.0
49,26.0,LAL,NBA,PF,73.0,59.0,28.4,4.9,10.8,0.459,0.0,0.0,0.0,4.9,10.7,0.459,0.459,2.6,4.0,0.666,2.3,3.8,6.1,1.3,0.9,1.8,1.3,3.4,12.5,2100000.0
50,32.0,CLE,NBA,SF,78,0,14.5,2.1,5.0,.411,0.2,0.5,.357,1.9,4.5,.417,.430,1.7,2.0,.830,0.8,1.2,2.0,0.9,0.4,0.1,0.8,1.6,6.0,650000.0
51,33.0,UTA,NBA,C,78,4,21.5,3.7,7.0,.531,0.0,0.1,.250,3.7,6.9,.533,.532,2.1,2.6,.821,1.0,2.4,3.4,0.9,0.3,0.9,1.1,3.2,9.6,666600.0
52,37.0,SEA,NBA,C,29,19,14.8,0.9,2.4,.391,0.0,0.0,0.0,0.9,2.4,.391,.391,0.5,0.8,.625,0.9,2.1,3.0,0.3,0.2,0.1,0.6,2.4,2.4,1502000.0
53,25.0,HOU,NBA,PG,82.0,1.0,23.0,3.1,7.2,0.427,0.8,2.3,0.33,2.3,4.9,0.473,0.48,2.6,3.1,0.843,0.5,2.1,2.6,4.9,1.1,0.2,2.0,2.5,9.5,845000.0
54,26.0,SAC,NBA,C,58.0,24.0,14.1,1.3,2.5,0.517,0.0,0.0,0.0,1.3,2.5,0.521,0.517,1.0,1.7,0.582,1.0,2.0,3.0,0.3,0.2,1.4,0.6,2.5,3.6,1545000.0
55,25.0,LAL,NBA,SF,58.0,54.0,35.0,8.6,16.8,0.509,1.0,2.5,0.397,7.6,14.3,0.528,0.538,3.6,5.0,0.716,2.9,5.1,8.0,1.8,1.0,0.3,2.5,2.3,21.7,1750000.0
56,35.0,UTA,NBA,PF,81,4,15.3,2.4,5.3,.457,0.0,0.3,.167,2.4,5.0,.474,.461,1.3,1.7,.807,0.8,1.8,2.6,0.9,0.3,0.4,0.6,2.1,6.2,1700000.0
57,27.0,WSB,NBA,SG,45.0,29.0,32.6,5.6,14.2,0.397,1.9,6.1,0.314,3.7,8.1,0.46,0.465,3.0,3.5,0.862,0.5,2.0,2.5,2.8,1.5,0.3,1.4,1.9,16.2,2004500.0
58,23.0,WSB,NBA,SG,78.0,71.0,34.0,6.6,14.5,0.453,1.2,3.6,0.339,5.3,10.8,0.492,0.496,2.2,2.7,0.812,1.3,2.8,4.1,2.3,1.0,0.3,1.9,2.8,16.6,2400000.0
59,26.0,HOU,NBA,PF,68.0,17.0,19.8,2.1,4.8,0.445,0.5,1.3,0.407,1.6,3.6,0.459,0.498,0.5,0.6,0.738,1.6,3.1,4.7,1.0,0.4,0.6,0.9,1.7,5.3,126300.0
60,27.0,NJN,NBA,PG,53.0,11.0,19.3,2.0,5.3,0.38,0.8,2.4,0.328,1.2,2.9,0.422,0.453,1.0,1.4,0.753,0.3,1.0,1.3,4.1,0.8,0.1,1.4,2.2,5.8,150000.0
61,24.0,NYK,NBA,SG,12.0,0.0,6.6,0.4,1.8,0.227,0.1,0.6,0.143,0.3,1.3,0.267,0.25,0.3,0.4,0.8,0.3,0.8,1.1,0.7,0.2,0.1,1.1,1.5,1.3,1244000.0
62,27.0,NJN,NBA,PF,56.0,54.0,37.6,6.6,15.6,0.424,0.5,2.1,0.233,6.1,13.5,0.454,0.44,6.7,8.8,0.767,3.0,7.6,10.6,3.3,0.6,1.7,3.1,2.9,20.5,4212000.0
