Player,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
0,27.0,TOT,NBA,PF,85.0,56.0,31.6,5.9,12.4,0.475,0.1,0.4,0.265,5.8,12.0,0.482,0.48,4.4,5.0,0.869,2.2,5.3,7.5,2.0,0.8,0.4,2.2,2.6,16.3,13500000.0
1,25.0,MIA,NBA,PF,45.0,6.0,13.7,1.8,4.4,0.419,0.0,0.0,0.0,1.8,4.4,0.419,0.419,0.6,0.7,0.758,0.9,1.7,2.6,0.4,0.3,0.6,0.6,1.8,4.2,1510000.0
2,28.0,SEA,NBA,SG,56.0,56.0,38.4,8.0,18.2,0.44,2.6,6.8,0.392,5.3,11.4,0.468,0.512,4.4,4.8,0.904,1.2,3.9,5.1,4.8,1.3,0.2,2.8,2.4,23.0,13500000.0
3,27.0,MIA,NBA,PG,82,28,31.5,3.5,9.3,.376,2.0,5.3,.371,1.5,4.0,.382,.481,1.3,1.6,.769,0.3,2.4,2.8,4.5,1.4,0.2,1.6,2.6,10.2,688679.0
4,25.0,DEN,NBA,PF,71,0,14.5,1.3,2.9,.443,0.0,0.0,.000,1.3,2.8,.446,.443,0.9,1.5,.589,1.3,2.9,4.2,0.5,0.5,1.6,0.7,1.7,3.4,638679.0
5,29.0,POR,NBA,SG,51.0,46.0,35.5,4.5,12.0,0.376,1.5,5.1,0.305,3.0,6.9,0.428,0.44,3.0,3.7,0.824,0.5,3.1,3.6,4.5,1.3,0.1,1.8,1.5,13.6,7794000.0
6,33.0,IND,NBA,PG,44,31,20.6,2.6,5.8,.441,0.0,0.1,.250,2.5,5.7,.444,.443,0.8,1.1,.729,0.4,1.4,1.8,2.8,0.6,0.1,1.1,1.7,6.0,1070000.0
7,30.0,NYK,NBA,SG,80.0,37.0,24.7,3.0,7.1,0.422,0.5,1.6,0.281,2.5,5.5,0.463,0.454,1.5,2.0,0.764,0.7,2.1,2.8,1.5,0.9,0.2,1.5,2.3,7.9,6700000.0
8,19.0,DEN,NBA,SF,82.0,82.0,36.5,7.6,17.9,0.426,0.8,2.6,0.322,6.8,15.3,0.444,0.449,5.0,6.4,0.777,2.2,3.8,6.1,2.8,1.2,0.5,3.0,2.7,21.0,3229200.0
9,23.0,TOT,NBA,"C,PF",32.0,3.0,8.0,0.3,1.0,0.273,0.0,0.0,0.0,0.3,1.0,0.273,0.273,0.4,1.0,0.452,0.7,1.0,1.6,0.4,0.4,0.1,0.3,1.6,1.0,563679.0
10,22.0,WAS,NBA,PG,55,52,37.6,6.5,16.6,.392,2.3,6.1,.375,4.2,10.6,.401,.460,4.3,5.8,.748,1.0,3.6,4.6,5.0,1.9,0.2,4.1,3.2,19.6,8536000.0
11,23.0,NJN,NBA,SG,56,0,7.8,1.2,3.1,0.371,0.3,0.9,0.365,0.8,2.2,0.374,0.426,0.0,0.1,0.5,0.2,0.6,0.8,0.3,0.2,0.0,0.4,0.9,2.7,995650.0
12,35.0,NOH,NBA,PG,79,22,28.4,3.7,9.3,.395,1.7,5.4,.315,2.0,3.9,.508,.487,1.6,1.8,.854,0.8,2.1,2.9,3.9,1.7,0.2,2.0,1.9,10.6,2475000.0
13,24.0,UTA,NBA,PG,71,71,28.3,4.8,10.8,.441,0.5,1.6,.325,4.2,9.2,.462,.466,2.5,3.2,.804,0.6,2.0,2.6,5.0,0.9,0.1,2.2,2.3,12.6,800000.0
14,29.0,TOT,NBA,PG,64,24,24.1,3.0,7.6,.397,1.3,3.8,.336,1.7,3.8,.457,.480,1.1,1.5,.753,0.1,1.3,1.5,3.5,0.7,0.0,1.4,1.6,8.4,3900000.0
15,35.0,NOH,NBA,SF,69.0,24.0,20.5,2.1,5.0,0.412,0.0,0.1,0.143,2.1,4.9,0.418,0.414,1.6,2.0,0.791,0.8,1.8,2.5,1.2,0.8,0.2,1.1,1.7,5.8,2400000.0
16,32.0,TOT,NBA,PF,54.0,33.0,24.3,3.9,8.0,0.481,0.0,0.1,0.333,3.8,7.9,0.483,0.483,2.1,2.9,0.726,2.1,3.1,5.2,1.2,0.5,0.6,1.4,3.0,9.8,13500000.0
17,22.0,BOS,NBA,PG,81.0,2.0,17.1,2.2,5.5,0.4,0.3,1.1,0.314,1.9,4.4,0.421,0.431,1.2,1.6,0.756,0.4,1.3,1.6,2.2,1.1,0.2,1.5,2.1,5.9,1499400.0
18,21.0,PHO,NBA,PG,70,46,21.4,3.0,6.7,.447,1.2,3.0,.395,1.8,3.7,.488,.535,0.7,0.9,.770,0.3,1.4,1.8,2.4,1.3,0.1,1.7,2.6,7.9,809280.0
19,32.0,SEA,NBA,SG,59.0,53.0,30.6,3.6,7.2,0.504,1.9,4.3,0.452,1.7,3.0,0.577,0.637,1.5,1.9,0.827,0.4,3.1,3.5,5.8,1.4,0.3,2.4,2.1,10.8,5400000.0
20,34.0,DEN,NBA,SG,57.0,9.0,19.3,2.1,5.2,0.404,0.9,2.4,0.37,1.2,2.8,0.434,0.49,1.1,1.2,0.845,0.4,1.7,2.2,2.6,1.0,0.1,0.9,1.2,6.2,3000000.0
21,28.0,TOR,NBA,C,7.0,0.0,5.7,0.6,1.0,0.571,0.0,0.0,0.0,0.6,1.0,0.571,0.571,0.0,0.0,0.0,0.7,0.4,1.1,0.1,0.1,0.0,0.3,1.4,1.1,636679.0
22,27.0,TOT,NBA,C,73,7,20.2,2.3,5.3,.443,0.0,0.1,.222,2.3,5.1,.448,.445,0.9,1.2,.742,1.6,3.3,4.9,0.8,0.4,0.9,0.9,2.2,5.6,4400000.0
23,25.0,MEM,NBA,SF,79.0,1.0,24.6,3.1,6.9,0.446,0.8,2.4,0.349,2.2,4.5,0.496,0.506,1.5,2.1,0.732,1.3,2.5,3.8,1.3,1.3,0.7,0.7,2.4,8.5,2533440.0
24,25.0,TOT,NBA,"C,PF",62.0,5.0,12.4,1.7,3.4,0.493,0.0,0.0,0.333,1.6,3.3,0.495,0.495,0.7,1.2,0.579,1.0,2.0,3.0,0.3,0.3,0.5,0.6,2.0,4.0,636679.0
25,23.0,MIA,NBA,PF,2,0,2.5,0.5,1.5,0.333,0.0,0.0,0.0,0.5,1.5,0.333,0.333,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,366931.0
26,27.0,UTA,NBA,SG,82.0,4.0,24.6,4.0,9.8,0.409,0.8,2.0,0.373,3.3,7.8,0.418,0.447,2.4,3.0,0.786,0.7,2.2,2.9,1.3,0.8,0.2,1.4,3.2,11.2,688679.0
27,23.0,MEM,NBA,PG,6,0,5.7,0.7,3.0,0.222,0.0,0.7,0.0,0.7,2.3,0.286,0.222,0.5,0.5,1.0,0.5,0.2,0.7,0.7,0.2,0.0,1.0,1.0,1.8,1285440.0
28,23.0,IND,NBA,SF,21,0,12.9,2.4,5.0,.472,0.4,1.0,.409,2.0,4.0,.488,.514,1.9,2.2,.830,0.4,1.5,1.9,0.4,0.2,0.5,1.6,1.1,7.0,5800000.0
29,31.0,DAL,NBA,PG,61,1,12.5,1.0,2.8,.372,0.0,0.3,.150,1.0,2.5,.401,.381,0.7,0.8,.870,0.3,0.8,1.1,1.8,0.5,0.1,0.5,1.1,2.8,938679.0
30,25.0,SAC,NBA,PG,82.0,82.0,36.3,6.4,14.3,0.45,1.8,4.6,0.392,4.6,9.7,0.479,0.514,3.7,4.5,0.815,0.8,2.6,3.4,5.4,1.4,0.2,2.1,1.8,18.4,9500000.0
31,27.0,DET,NBA,PG,78.0,78.0,35.4,5.0,12.8,0.394,1.7,4.3,0.388,3.4,8.5,0.396,0.459,5.2,5.9,0.878,0.4,3.1,3.5,5.7,1.1,0.1,2.4,2.3,16.9,5000600.0
32,23.0,WAS,NBA,PG,75,14,18.6,2.1,5.4,.386,1.0,2.7,.371,1.1,2.7,.400,.478,0.7,0.9,.821,0.2,1.3,1.6,2.8,0.8,0.1,1.7,1.3,5.9,366931.0
33,35.0,TOT,NBA,"C,PF",62.0,3.0,16.9,1.9,4.1,0.455,0.0,0.0,0.0,1.9,4.0,0.46,0.455,0.2,0.4,0.556,1.6,2.9,4.4,0.9,0.8,0.4,0.7,2.2,4.0,1680000.0
34,28.0,BOS,NBA,C,82.0,73.0,29.3,4.2,7.4,0.566,0.0,0.0,0.0,4.2,7.4,0.566,0.566,1.9,2.7,0.719,2.5,4.7,7.2,0.9,1.0,1.3,1.8,3.1,10.3,944922.0
