Player,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
0,28.0,SAC,NBA,PG,31,0,17.1,3.3,8.8,.377,0.2,1.0,.161,3.2,7.8,.405,.386,0.5,0.5,1.000,0.2,1.0,1.2,1.9,0.5,0.0,0.6,1.0,7.3,3300000.0
1,23.0,SAC,NBA,SG,59.0,16.0,16.3,2.4,6.1,0.403,0.1,0.3,0.211,2.4,5.7,0.414,0.409,1.4,2.1,0.672,0.7,1.2,2.0,0.9,0.6,0.2,1.1,1.4,6.4,1226880.0
2,21.0,VAN,NBA,SF,82.0,82.0,36.0,8.0,16.4,0.485,0.3,0.6,0.412,7.7,15.8,0.488,0.493,6.1,7.8,0.784,2.8,4.3,7.1,2.6,1.1,0.9,3.1,2.5,22.3,2513760.0
3,24.0,TOT,NBA,PG,60,22,21.6,2.9,6.7,.428,1.1,2.9,.375,1.8,3.7,.469,.510,1.3,1.7,.784,0.3,2.2,2.4,3.5,1.2,0.2,1.9,1.6,8.1,562380.0
4,22.0,MIL,NBA,SG,82.0,82.0,40.1,6.9,16.0,0.428,1.6,4.5,0.364,5.2,11.5,0.453,0.479,4.2,4.8,0.875,1.5,3.4,4.9,4.3,1.4,0.1,3.2,3.0,19.5,2052360.0
5,23.0,CLE,NBA,SF,66.0,13.0,27.9,3.6,8.9,0.408,0.3,1.3,0.202,3.4,7.6,0.442,0.422,4.2,4.8,0.873,0.8,2.0,2.8,3.4,1.3,0.2,1.9,2.1,11.7,1107240.0
6,33.0,ATL,NBA,C,50,0,8.0,0.7,1.6,.444,0.0,0.1,.000,0.7,1.5,.474,.444,0.3,0.8,.390,0.8,1.6,2.4,0.3,0.4,0.2,0.3,1.7,1.8,272250.0
7,27.0,TOT,NBA,PG,61,56,30.5,4.4,11.0,.398,0.9,2.6,.356,3.5,8.4,.411,.440,2.5,3.2,.789,0.6,2.2,2.8,5.7,1.4,0.0,2.3,2.2,12.2,5010000.0
8,30.0,ORL,NBA,SF,58.0,44.0,29.3,5.9,13.0,0.455,1.3,3.7,0.36,4.6,9.3,0.493,0.506,2.2,3.4,0.638,1.7,3.4,5.1,2.1,1.2,0.4,1.5,1.7,15.3,4000000.0
9,24.0,UTA,NBA,SG,82.0,2.0,19.5,3.3,6.1,0.538,0.1,0.4,0.219,3.2,5.7,0.56,0.545,1.7,2.3,0.735,1.0,1.7,2.8,1.1,0.8,0.2,1.1,1.8,8.3,1200000.0
10,23.0,DAL,NBA,C,41.0,8.0,16.6,2.2,5.6,0.398,0.1,0.4,0.188,2.2,5.2,0.414,0.405,1.3,1.8,0.716,1.3,2.5,3.8,0.9,0.8,0.7,1.0,2.3,5.9,713900.0
11,30.0,SEA,NBA,PG,80.0,0.0,12.8,1.9,4.4,0.43,0.8,2.0,0.415,1.1,2.4,0.442,0.524,0.7,1.0,0.663,0.2,1.2,1.4,2.6,0.8,0.0,1.1,1.2,5.2,272250.0
12,30.0,TOT,NBA,PG,66.0,0.0,12.6,1.6,3.2,0.493,0.1,0.5,0.257,1.5,2.7,0.539,0.514,0.6,0.8,0.84,0.2,0.9,1.2,2.3,0.4,0.0,0.6,1.1,4.0,2600000.0
13,29.0,ORL,NBA,PG,48,17,25.8,3.3,7.9,.411,0.5,1.4,.368,2.7,6.5,.420,.443,2.2,2.6,.854,1.4,2.0,3.3,4.9,1.2,0.1,2.3,2.0,9.2,350000.0
14,31.0,POR,NBA,SG,30,5,14.8,0.6,1.8,.352,0.0,0.1,.000,0.6,1.7,.365,.352,0.9,1.3,.718,0.7,1.6,2.3,1.3,0.6,0.2,1.2,1.3,2.2,272250.0
15,30.0,MIA,NBA,SF,46,12,14.8,0.8,2.7,0.32,0.5,1.6,0.284,0.4,1.0,0.375,0.406,0.3,0.4,0.632,0.6,1.6,2.2,0.6,0.6,0.3,0.6,2.3,2.4,750000.0
16,29.0,POR,NBA,SG,71.0,23.0,20.4,2.2,5.2,0.414,0.0,0.1,0.143,2.2,5.1,0.419,0.415,1.3,2.2,0.603,1.5,1.8,3.3,1.2,0.8,0.5,1.1,2.0,5.7,2800000.0
17,28.0,TOT,NBA,C,78,50,29.1,5.2,11.2,.466,0.0,0.1,.000,5.2,11.1,.470,.466,3.1,4.7,.669,2.6,4.6,7.1,2.2,0.8,0.7,2.6,3.0,13.5,384000.0
