Player,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
0,25.0,BOS,NBA,PF,13.0,0.0,12.2,1.8,4.2,0.436,0.0,0.0,0.0,1.8,4.2,0.436,0.436,1.2,1.9,0.64,0.9,2.6,3.5,0.2,0.2,0.2,1.3,1.5,4.9,805000.0
1,24.0,DEN,NBA,PG,80,78,32.7,7.4,16.0,.460,0.5,1.7,.316,6.8,14.3,.476,.476,2.7,2.9,.956,0.3,1.8,2.1,4.5,1.0,0.1,1.9,1.9,18.0,1825000.0
2,31.0,WSB,NBA,PG,70.0,67.0,33.4,4.1,10.0,0.408,0.8,2.7,0.288,3.3,7.2,0.454,0.448,3.2,3.9,0.83,0.5,2.1,2.6,6.9,1.4,0.1,2.4,2.0,12.1,1309000.0
3,34.0,LAC,NBA,SF,39.0,0.0,22.0,4.2,8.9,0.468,0.9,2.4,0.398,3.2,6.5,0.494,0.522,1.3,1.8,0.694,0.7,2.3,3.0,2.7,0.5,0.2,1.8,2.5,10.6,1471000.0
4,34.0,PHO,NBA,SG,68.0,1.0,22.9,3.3,7.9,0.417,1.2,3.6,0.328,2.1,4.3,0.491,0.492,1.1,1.4,0.83,0.4,1.5,1.9,2.6,0.8,0.1,1.2,2.1,8.9,1690000.0
5,24.0,GSW,NBA,C,69,39,19.1,3.9,7.3,.530,0.0,0.2,.154,3.8,7.1,.540,.532,1.0,1.9,.527,1.7,2.8,4.5,1.0,0.4,0.5,1.2,2.4,8.7,1160000.0
6,23.0,NYK,NBA,PF,11,0,3.5,0.6,1.5,0.412,0.2,0.2,1.0,0.5,1.4,0.333,0.471,0.5,1.3,0.357,0.5,1.0,1.5,0.2,0.0,0.1,0.2,0.8,1.9,250000.0
7,29.0,DET,NBA,PF,77,47,21.1,2.6,4.8,.543,0.0,0.0,.333,2.6,4.8,.545,.545,1.1,2.0,.571,2.4,5.0,7.4,0.7,0.7,0.9,1.2,3.0,6.4,650000.0
8,23.0,NJN,NBA,PG,82,82,38.2,7.0,16.8,.417,0.5,1.6,.303,6.5,15.2,.429,.432,4.2,5.2,.818,1.1,2.8,3.9,9.6,1.9,0.2,3.2,2.5,18.8,2925000.0
9,26.0,ORL,NBA,SG,81.0,81.0,34.7,6.2,13.0,0.478,1.2,3.9,0.322,5.0,9.1,0.545,0.526,2.1,3.1,0.672,1.4,4.5,5.9,3.6,1.7,0.4,2.0,1.8,15.8,2670000.0
