Player,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
0,24.0,TOT,NBA,PF,75.0,52.0,17.5,3.3,6.3,0.518,0.0,0.0,0.0,3.3,6.3,0.519,0.518,1.2,1.5,0.759,1.7,2.8,4.5,0.4,0.3,0.3,1.3,2.5,7.7,500000.0
1,23.0,DEN,NBA,PG,81,81,33.5,7.8,17.4,.450,0.9,2.4,.355,7.0,14.9,.465,.475,2.7,2.9,.935,0.6,2.1,2.8,4.2,1.0,0.1,2.3,2.2,19.2,2358000.0
2,30.0,TOT,NBA,C,18.0,7.0,14.9,1.4,2.7,0.531,0.1,0.1,0.5,1.4,2.6,0.532,0.541,0.6,0.9,0.688,1.4,2.3,3.7,0.3,0.2,0.3,0.7,1.9,3.6,250000.0
3,30.0,WSB,NBA,PG,70.0,70.0,35.7,5.2,11.9,0.439,1.0,3.0,0.321,4.2,8.8,0.48,0.48,3.4,4.0,0.856,0.7,2.7,3.4,7.5,1.4,0.1,2.5,2.1,14.8,1309000.0
4,28.0,NJN,NBA,SF,68,15,17.1,2.7,6.0,.443,0.1,0.5,.206,2.6,5.5,.464,.451,0.8,1.0,.814,0.7,1.3,1.9,0.8,0.3,0.2,0.9,1.8,6.3,522000.0
5,33.0,DET,NBA,SF,51.0,15.0,20.7,3.7,8.3,0.443,0.6,1.6,0.361,3.1,6.6,0.463,0.479,1.9,2.5,0.767,0.8,2.1,3.0,2.1,0.3,0.1,1.3,2.0,9.9,1351000.0
6,33.0,PHO,NBA,SG,80.0,0.0,27.0,4.2,9.1,0.462,1.9,4.7,0.403,2.3,4.5,0.522,0.564,1.5,1.8,0.848,0.6,2.1,2.7,3.3,0.9,0.1,1.4,2.2,11.8,1330000.0
7,23.0,GSW,NBA,C,72,59,24.3,4.8,9.3,.516,0.1,0.3,.455,4.6,9.0,.518,.523,1.5,2.3,.685,1.8,4.0,5.8,1.3,0.5,0.7,1.7,3.0,11.2,942000.0
8,22.0,NYK,NBA,PF,16,0,2.8,0.3,1.1,0.278,0.0,0.0,0.0,0.3,1.1,0.278,0.278,0.7,0.8,0.846,0.4,0.5,0.9,0.2,0.2,0.1,0.3,0.9,1.3,140000.0
9,22.0,NJN,NBA,PG,55,55,36.5,6.7,15.5,.435,0.1,0.5,.280,6.6,15.0,.440,.439,3.3,4.2,.776,0.9,3.2,4.1,8.2,1.7,0.2,2.8,2.5,16.9,2376000.0
10,25.0,ORL,NBA,SG,79.0,76.0,37.0,7.5,16.8,0.449,1.1,3.2,0.353,6.4,13.6,0.471,0.482,3.8,5.1,0.741,1.5,4.5,6.0,3.4,1.6,0.7,2.1,2.5,19.9,800000.0
11,34.0,PHI,NBA,SF,69,0,18.3,3.3,7.9,.414,0.6,1.7,.325,2.7,6.1,.439,.449,1.0,1.3,.809,0.9,1.8,2.7,1.3,0.4,0.1,0.9,1.1,8.1,950000.0
12,26.0,SAS,NBA,SG,38,7,14.7,2.1,4.9,.430,0.0,0.2,.125,2.1,4.7,.444,.433,0.6,0.7,.786,0.2,1.3,1.5,2.1,0.4,0.2,1.2,1.4,4.8,2075000.0
13,25.0,NYK,NBA,PG,70.0,35.0,24.3,2.5,6.0,0.415,0.1,0.4,0.133,2.4,5.6,0.437,0.42,1.5,2.3,0.673,0.6,1.8,2.4,5.7,1.6,0.2,1.5,2.0,6.6,1067000.0
14,25.0,CHI,NBA,PG,82.0,74.0,30.4,5.0,10.0,0.499,0.8,1.7,0.453,4.2,8.3,0.508,0.537,1.6,1.8,0.861,0.3,1.5,1.8,4.0,0.8,0.1,1.0,2.1,12.3,540000.0
15,26.0,TOT,NBA,SG,73,4,15.5,2.1,4.2,.492,0.0,0.1,.333,2.1,4.2,.495,.495,1.4,2.0,.705,0.8,1.4,2.2,1.7,0.5,0.3,0.9,1.8,5.6,180000.0
16,25.0,MIA,NBA,SF,69,1,13.6,1.3,3.1,0.413,0.3,0.9,0.338,1.0,2.1,0.446,0.465,0.4,0.6,0.725,1.1,1.8,2.9,0.4,0.4,0.4,0.5,2.0,3.3,250000.0
17,24.0,ATL,NBA,SG,73.0,66.0,28.9,5.4,10.8,0.501,0.0,0.1,0.0,5.4,10.8,0.504,0.501,3.1,4.2,0.739,1.9,2.0,3.9,2.3,1.2,0.2,2.2,1.9,14.0,1138000.0
18,23.0,UTA,NBA,C,46,3,6.7,1.1,2.4,.446,0.0,0.0,.000,1.1,2.4,.450,.446,0.6,1.0,.659,0.8,0.9,1.7,0.1,0.2,0.3,0.5,1.3,2.8,400000.0
19,23.0,MIL,NBA,PF,82,78,27.9,4.2,9.8,.433,0.0,0.0,.000,4.2,9.8,.434,.433,1.4,2.1,.651,2.2,4.0,6.2,1.1,0.7,0.9,1.7,2.9,9.8,500000.0
20,32.0,BOS,NBA,PG,10,0,9.7,0.9,2.5,.360,0.0,0.1,.000,0.9,2.4,.375,.360,0.5,0.6,.833,0.1,0.6,0.7,2.0,0.2,0.0,1.7,1.1,2.3,550000.0
21,31.0,MIN,NBA,PF,70,3,18.2,2.9,6.4,.455,0.0,0.0,0.0,2.9,6.4,.455,.455,1.7,2.0,.838,0.8,2.3,3.1,0.9,0.3,0.7,0.9,1.3,7.5,1000000.0
22,24.0,DAL,NBA,SG,23,0,7.6,0.8,2.7,.306,0.0,0.3,.167,0.8,2.4,.321,.315,0.5,0.7,.706,0.4,1.2,1.6,1.3,0.3,0.1,0.7,1.2,2.2,150000.0
23,29.0,PHO,NBA,PF,76.0,76.0,37.6,9.4,18.1,0.52,0.9,2.9,0.305,8.5,15.2,0.561,0.545,5.9,7.7,0.765,3.1,9.1,12.2,5.1,1.6,1.0,3.1,2.6,25.6,2420000.0
24,25.0,SEA,NBA,PG,69,2,18.0,3.1,6.9,.451,0.9,2.4,.379,2.2,4.4,.492,.519,0.7,0.9,.831,0.3,1.3,1.6,2.2,0.9,0.0,0.8,1.1,7.8,500000.0
25,23.0,MIL,NBA,SG,47.0,0.0,11.7,1.6,4.4,0.369,0.4,1.3,0.333,1.2,3.0,0.385,0.42,0.7,1.0,0.673,0.2,0.7,0.9,1.4,0.7,0.1,0.9,1.2,4.4,500000.0
26,30.0,CLE,NBA,SG,41.0,0.0,12.1,2.0,4.9,0.415,0.0,0.1,0.167,2.0,4.7,0.423,0.418,1.4,1.8,0.778,0.1,0.6,0.7,1.3,0.2,0.1,0.5,1.0,5.4,910000.0
27,28.0,BOS,NBA,SG,3.0,1.0,9.7,2.0,4.3,0.462,0.0,0.3,0.0,2.0,4.0,0.5,0.462,0.7,0.7,1.0,2.3,1.3,3.7,0.7,0.3,0.0,0.7,0.7,4.7,140000.0
28,29.0,SAS,NBA,C,16,0,4.1,0.6,1.7,.333,0.1,0.1,1.000,0.5,1.6,.308,.352,0.4,0.8,.500,0.1,0.6,0.6,0.0,0.0,0.1,0.1,0.9,1.6,925000.0
29,28.0,TOT,NBA,C,59.0,6.0,12.8,2.3,4.6,0.491,0.0,0.0,0.0,2.3,4.6,0.491,0.491,1.2,1.8,0.663,0.9,2.7,3.5,0.4,0.5,0.8,1.3,2.3,5.7,3175000.0
30,23.0,CHH,NBA,PG,75,2,11.4,1.5,3.5,0.423,0.3,1.1,0.325,1.1,2.4,0.467,0.473,0.4,0.5,0.732,0.2,0.7,0.8,1.8,0.4,0.0,0.7,1.5,3.7,140000.0
31,24.0,UTA,NBA,SF,82,27,20.9,3.1,7.2,.436,0.4,1.2,.347,2.7,6.0,.453,.465,1.4,1.9,.750,1.4,3.4,4.8,0.5,0.5,0.5,1.1,2.5,8.1,300000.0
